name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
ngc323,0,56,41.65,-52,58,33.3
ngc324,0,57,14.78,-40,57,32.8
ngc325,0,57,47.87,-5,6,43.5
ngc326,0,58,22.7,26,51,55.0
ngc0326 ned01,0,58,22.64,26,51,58.5
ngc0326 ned02,0,58,22.85,26,51,52.4
ngc327,0,57,55.36,-5,7,49.5
ngc328,0,56,57.57,-52,55,26.1
ngc329,0,58,1.6,-5,4,16.4
ngc330,0,56,17.65,-72,27,46.6
ngc331,0,47,6.86,-2,43,52.1
ngc332,0,58,49.13,7,6,40.7
ngc333,0,58,51.2,-16,28,13.0
ngc0333a,0,58,51.31,-16,28,9.1
ngc0333b,0,58,51.09,-16,28,17.2
ngc334,0,58,49.81,-35,6,57.7
ngc335,0,59,19.78,-18,14,4.8
ngc336,0,58,2.83,-18,23,3.6
ngc337,0,59,50.09,-7,34,40.7
ngc0337a,1,1,33.9,-7,35,17.7
ngc338,1,0,36.41,30,40,8.3
ngc339,0,57,42.06,-74,28,24.2
ngc340,1,0,34.88,-6,51,59.7
ngc341,1,0,45.83,-9,11,8.5
ngc342,1,0,49.86,-6,46,21.2
ngc343,0,58,23.93,-23,13,30.8
ngc344,0,58,25.44,-23,13,45.2
ngc345,1,1,22.1,-6,53,3.4
ngc346,0,59,5.04,-72,10,37.6
ngc347,1,1,35.16,-6,44,1.2
ngc348,1,0,52.01,-53,14,40.2
ngc349,1,1,50.75,-6,47,59.3
ngc350,1,1,56.71,-6,47,44.6
ngc351,1,1,57.84,-1,56,12.3
ngc352,1,2,9.21,-4,14,43.7
ngc353,1,2,24.53,-1,57,31.9
ngc354,1,3,16.39,22,20,33.6
ngc355,1,3,6.98,-6,19,26.4
ngc356,1,3,7.1,-6,59,18.1
ngc357,1,3,21.88,-6,20,21.2
ngc358,1,5,10.93,62,1,13.6
ngc359,1,4,16.96,-0,45,53.7
ngc360,1,2,51.45,-65,36,35.9
ngc361,1,2,10.16,-71,36,17.1
ngc362,1,3,14.23,-70,50,53.6
ngc363,1,6,15.79,-16,32,33.9
ngc364,1,4,40.83,-0,48,9.9
ngc365,1,4,18.72,-35,7,17.1
ngc366,1,6,25.99,62,13,44.1
ngc367,1,5,48.89,-12,7,42.5
ngc368,1,4,22.04,-43,16,36.3
ngc369,1,5,8.91,-17,45,33.1
ngc370,1,6,44.59,32,25,43.3
ngc371,1,3,29.53,-72,3,24.6
ngc372,1,6,44.59,32,25,43.3
ngc373,1,6,58.21,32,18,30.5
ngc374,1,7,5.78,32,47,42.4
ngc375,1,7,5.92,32,20,53.4
ngc376,1,3,53.45,-72,49,25.2
ngc377,1,6,34.82,-20,19,57.2
ngc378,1,6,12.21,-30,10,41.3
ngc379,1,7,15.69,32,31,13.3
ngc380,1,7,17.59,32,28,58.5
ngc381,1,8,18.01,61,34,59.8
ngc382,1,7,23.87,32,24,13.9
ngc383,1,7,24.96,32,24,45.2
ngc384,1,7,25.1,32,17,32.8
ngc385,1,7,27.25,32,19,10.3
