name,ra_h,ra_m,ra_s,dec_d,dec_m,dec_s
pk355+04.1,17,17,54,-30,2,0
pk358+06.1,17,18,24,-26,22,0
pk357+05.1,17,18,36,-27,50,0
pk354+03.1,17,18,48,-31,39,0
pk355+03.4,17,19,0,-30,54,0
pk342-04.1,17,19,30,-45,53,0
pk355+03.3,17,19,18,-31,13,0
pk359+06.1,17,19,12,-25,17,0
pk353+02.1,17,19,42,-32,29,0
pk338-08.1,17,20,42,-51,45,0
pk341-06.1,17,21,6,-47,35,0
pk000+06.2,17,20,24,-24,52,0
pk356+04.1,17,20,36,-29,1,0
pk356+04.3,17,21,6,-29,23,0
pk356+04.2,17,21,6,-29,3,0
pk358+05.1,17,21,12,-27,12,0
pk002+08.1,17,21,18,-22,19,0
pk355+03.2,17,21,30,-30,21,0
pk357+04.2,17,21,42,-28,55,0
pk337-09.1,17,22,36,-52,47,0
pk349-01.1,17,22,12,-38,29,0
pk342-06.2,17,22,48,-47,3,0
pk354+02.1,17,22,36,-32,14,0
pk000+06.1,17,22,54,-25,25,0
pk357+04.1,17,23,24,-28,59,0
pk331-13.1,17,25,6,-59,33,0
pk355+02.1,17,24,0,-31,2,0
pk359+05.1,17,24,0,-26,0,0
pk357+04.3,17,24,18,-28,47,0
pk347-02.1,17,24,42,-40,53,0
pk355+02.3,17,24,24,-31,44,0
pk357+03.1,17,24,36,-29,25,0
pk355+02.2,17,24,42,-30,52,0
pk357+03.6,17,24,42,-28,45,0
pk358+04.1,17,24,48,-28,6,0
pk003+07.1,17,24,48,-21,34,0
pk355+02.4,17,25,0,-31,29,0
pk356+03.1,17,25,6,-29,46,0
pk356+02.1,17,25,18,-30,41,0
pk359+05.3,17,25,24,-26,12,0
pk345-04.1,17,26,12,-44,12,0
pk359+04.1,17,25,42,-26,58,0
pk359+05.2,17,25,42,-26,12,0
pk357+03.2,17,26,0,-29,22,0
pk352+00.1,17,26,24,-35,2,0
pk343-05.1,17,27,6,-45,33,0
pk007+10.1,17,26,36,-16,49,0
pk357+03.4,17,27,0,-29,16,0
pk358+04.3,17,27,0,-27,41,0
pk358+04.2,17,27,6,-27,43,0
pk342-06.1,17,27,48,-46,55,0
pk358+03.1,17,27,24,-28,27,0
pk358+03.2,17,27,36,-28,31,0
pk358+03.9,17,27,48,-28,11,0
pk002+06.1,17,27,54,-22,57,0
pk001+05.1,17,28,6,-24,25,0
pk352-00.1,17,28,24,-35,7,0
pk358+03.3,17,28,42,-28,27,0
pk001+05.2,17,28,42,-24,51,0
pk357+02.5,17,28,48,-30,7,0
pk011+11.1,17,28,30,-13,26,0
pk006+08.1,17,28,54,-19,16,0
pk009+10.1,17,29,6,-15,13,0
pk000+04.2,17,29,24,-26,26,0
pk002+05.1,17,29,18,-23,45,0
pk000+04.1,17,29,24,-25,49,0
pk344-06.1,17,30,6,-45,23,0
pk358+03.7,17,29,42,-28,40,0
pk357+02.4,17,29,42,-29,33,0
pk000+04.3,17,29,54,-26,11,0
pk358+03.4,17,30,0,-27,59,0
pk003+06.1,17,30,0,-22,37,0
pk000+04.4,17,30,12,-26,21,0
pk359+03.4,17,30,12,-27,30,0
pk358+02.2,17,30,24,-29,10,0
pk358+02.4,17,30,30,-28,36,0
pk358+03.6,17,30,42,-28,4,0
pk002+05.2,17,30,36,-23,45,0
pk357+02.7,17,30,48,-30,17,0
pk359+03.2,17,30,48,-27,6,0
pk356+01.2,17,31,0,-31,1,0
pk357+02.6,17,31,6,-30,10,0
